Date,Mid Price
5/26/2022,132.56
5/25/2022,100.89
5/24/2022,135.79
5/23/2022,135.77
5/22/2022,247.4
5/21/2022,157.27
5/20/2022,185.12
5/19/2022,157.59
5/18/2022,97.83
5/17/2022,101.23
5/16/2022,124.37
5/15/2022,184.23
5/14/2022,130.88
5/13/2022,140
5/12/2022,144.73
5/11/2022,102.02
5/10/2022,135.75
5/9/2022,97.81
5/8/2022,307.96
5/7/2022,108.42
5/6/2022,212.5
5/5/2022,87.92
5/4/2022,123.78
5/3/2022,103.64
5/2/2022,99.33
5/1/2022,150.39
4/30/2022,281.5
4/29/2022,126.12
4/28/2022,80.21
4/27/2022,69.39
4/26/2022,130.06
4/25/2022,126.9
4/24/2022,131.87
4/23/2022,112.1
4/22/2022,148.56
4/21/2022,89.05
4/20/2022,95.07
4/19/2022,276.08
4/18/2022,93.03
4/17/2022,105.38
4/16/2022,85.21
4/15/2022,98.36
4/14/2022,142.29
4/13/2022,90.43
4/12/2022,103.12
4/11/2022,241.25
4/10/2022,324.04
4/9/2022,92.39
4/8/2022,124.74
4/7/2022,171.04
4/6/2022,168.21
4/5/2022,126.89
4/4/2022,115.67
4/3/2022,65.82
4/2/2022,160.34
4/1/2022,114.29
3/31/2022,81.85
3/30/2022,105.19
3/29/2022,193.93
3/28/2022,322.1
3/27/2022,396.7
3/26/2022,204.08
3/25/2022,209.01
3/24/2022,128.23
3/23/2022,116.56
3/22/2022,137.53
3/21/2022,239.83
3/20/2022,161.71
3/19/2022,100.89
3/18/2022,171.27
3/17/2022,137.82
3/16/2022,216.66
3/15/2022,154.33
3/14/2022,222.54
3/13/2022,352.88
3/12/2022,174.06
3/11/2022,232.96
3/10/2022,150.53
3/9/2022,142.59
3/8/2022,165.06
3/7/2022,164.7
3/6/2022,142.22
3/5/2022,212.98
3/4/2022,219.09
3/3/2022,204.82
3/2/2022,134.88
3/1/2022,188.05
2/28/2022,167.06
2/27/2022,160.39
2/26/2022,175.73
2/25/2022,161.59
2/24/2022,156.68
2/23/2022,89.64
2/22/2022,180.27
2/21/2022,114.2
2/20/2022,133.87
2/19/2022,139.8
2/18/2022,180.25
2/17/2022,107.1
2/16/2022,73.91
2/15/2022,109.46
2/14/2022,201.81
2/13/2022,155.44
2/12/2022,85.27
2/11/2022,67.68
2/10/2022,84.38
2/9/2022,83.48
2/8/2022,115.82
